Sites,Latitude,Longitude,Country,Site Links,Image Source,Paragraph
Pyramid of Djedefre,30.0321443,31.0749381241832,Egypt,https://www.megalithicbuilders.com/africa/egypt/lower-egypt/abu-roash-pyramid-of-djedefre,https://www.megalithicbuilders.com/images/africa/egypt/abu-roash-pyramid-of-djedefre/abu-roash-pyramid-of-djedefre-main.jpg,"Abu Rawash (also spelled Abu Roach, Abu Roash), 8 km to the North of Giza, is the site of Egypt's most northerly pyramid, also known as the lost pyramid — the mostly ruined Pyramid of Djedefre, the son and successor of Khufu. Originally, it was thought that this pyramid had never been completed, but the current archaeological consensus is that not only was it completed, but that it was built about the same size as the Pyramid of Menkaure – the third largest of the Giza pyramids. One notable fact about the pyramid at Abu Roash is that the upper most part of the pyramid has seemingly disappeared, revealing the internal passage that runs down into the bedrock. Explanations to why this pyramid is missing its top vary. The second point of interest that this pyramid provides is that it is built on top of a hillock. The builders faced the colossal task of not only hauling megalithic stones up a pyramid but also up a hillock."
Necropolis,22.6651095,-102.9955829,Egypt,https://www.megalithicbuilders.com/africa/egypt/lower-egypt/abusir-necropolis,https://www.megalithicbuilders.com/images/africa/egypt/abusir-necropolis/abusir-necropolis-main1.jpg,"Abusir (""the House or Temple of Osiris"") is the name given to an Egyptian archaeological locality – specifically, an extensive necropolis of the Old Kingdom period, together with later additions – in the vicinity of the modern capital Cairo. The name is also that of a neighbouring village in the Nile Valley, whence the site takes its name. Abusir is located several kilometres north of Saqqara and, like it, served as one of the main elite cemeteries for the ancient Egyptian capital city of Memphis. Several other villages in northern and southern Egypt are named Abusir or Busiri. Abusir is one relatively small segment of the extensive ""pyramid field"" that extends from north of Giza to below Saqqara."
Bent Pyramid,29.79023565,31.20946815,Egypt,https://www.megalithicbuilders.com/africa/egypt/lower-egypt/dashur-bent-pyramid,https://www.megalithicbuilders.com/images/africa/egypt/dashur-bent-pyramid/dashur-bent-pyramid-main1.jpg,"The Bent Pyramid is an ancient Egyptian pyramid located at the royal necropolis of Dahshur, approximately 40 kilometres south of Cairo, theorized to have been built under the Old Kingdom Pharaoh Sneferu (c. 2600 BC). Also theorized to be a unique example of early pyramid development in Egypt, and the second pyramid built by Sneferu."
Pyramid Complex,29.978485,31.1324617997239,Egypt,https://www.megalithicbuilders.com/africa/egypt/lower-egypt/giza-plateau-pyramid-complex,https://www.megalithicbuilders.com/images/africa/egypt/giza-plateau-pyramid-complex/giza-plateau-pyramid-complex-main1.jpg,"The Giza Pyramid Complex (""Pyramids of Giza"") is an archaeological site on the Giza Plateau, on the outskirts of Cairo, Egypt."
Great Sphinx of Giza,29.9752458,31.1373822,Egypt,https://www.megalithicbuilders.com/africa/egypt/lower-egypt/giza-plateau-great-sphinx-of-giza,https://www.megalithicbuilders.com/images/africa/egypt/giza-plateau-sphinx/giza-plateau-sphinx-main1.jpg,"The Great Sphinx of Giza, commonly referred to as the Sphinx of Giza or just the Sphinx, is a limestone statue of a reclining sphinx, a mythical creature with the body of a lion and the head of a human. Facing directly from West to East, it stands on the Giza Plateau on the west bank of the Nile in Giza, Egypt. The face of the Sphinx is generally believed to represent the Pharaoh Khafre."
Valley Temple,31.098207,-97.3427847,Egypt,https://www.megalithicbuilders.com/africa/egypt/lower-egypt/giza-plateau-valley-temple,https://www.megalithicbuilders.com/images/africa/egypt/giza-plateau-valley-temple/gallery/giza-plateau-valley-temple-01.jpg,"The first complete exploration was conducted by John Perring in 1837. In 1853, Auguste Mariette partially excavated Khafre's Valley Temple, and, in 1858, while completing its clearance, he managed to discover a diorite statue."
Serapeum,37.3983675,25.2705202146758,Egypt,https://www.megalithicbuilders.com/africa/egypt/lower-egypt/saqqara-serapeum,https://www.megalithicbuilders.com/images/africa/egypt/saqqara-serapeum/gallery/saqqara-serapeum-01.jpg,"The Serapeum of Saqqara is a serapeum located north west of the Pyramid of Djoser at Saqqara, a necropolis near Memphis in Lower Egypt. It was a burial place of Apis bulls, which were incarnations of the deity Ptah. It was believed that the bulls became immortal after death as Osiris Apis, a name shortened to Serapis in the Hellenic period."
Unfinished Pyramid,29.9401222,31.151556,Egypt,https://www.megalithicbuilders.com/africa/egypt/lower-egypt/zawyet-el-aryan-unfinished-pyramid,https://www.megalithicbuilders.com/images/africa/egypt/zawyet-el-aryan-unfinished-pyramid/zawyet-el-aryan-unfinished-pyramid-main2.jpg,"Zawyet El Aryan is a town in the Giza Governorate, located between Giza and Abusir. To the west of the town, just in the desert area, is a necropolis, referred to by the same name. Almost directly east across the Nile is Memphis. In Zawyet El Aryan, there are two pyramid complexes and five mastaba cemeteries."
Temple Complex,15.3350061,76.4592457348619,Egypt,https://www.megalithicbuilders.com/africa/egypt/upper-egypt/abu-simbel-temple-complex,https://www.megalithicbuilders.com/images/africa/egypt/abu-simbel-temple-complex/abu-simbel-temple-complex-main1.jpg,"Construction of the temple complex started in approximately 1264 BC and lasted for about 20 years, until 1244 BC. Known as the ""Temple of Ramesses, beloved by Amun"" it was one of six rock temples erected in Nubia during the long reign of Ramesses II. Their purpose was to impress Egypt's southern neighbours, and also to reinforce the status of Egyptian religion in the region."
Osirion,26.18413345,31.9184101871989,Egypt,https://www.megalithicbuilders.com/africa/egypt/upper-egypt/abydos-osirion,https://www.megalithicbuilders.com/images/africa/egypt/abydos-osireion/gallery/osireion-abydos-01.jpg,"The Osirion or Osireon is an ancient Egyptian temple. It is located at Abydos, to the rear of the temple of Seti I. It is an integral part of Seti I's funeral complex and is built to resemble an 18th Dynasty Valley of the Kings tomb."
Elephantine Island,24.09114235,32.8901695353423,Egypt,https://www.megalithicbuilders.com/africa/egypt/upper-egypt/aswan-elephantine-island,https://www.megalithicbuilders.com/images/africa/egypt/aswan-elephantine-island/aswan-elephantine-island-main.jpg,"Elephantine is an island on the Nile, forming part of the city of Aswan in southern Egypt. There are archaeological sites on the island."
Unfinished Obelisk,24.0769125,32.8954118131195,Egypt,https://www.megalithicbuilders.com/africa/egypt/upper-egypt/aswan-unfinished-obelisk,https://www.megalithicbuilders.com/images/africa/egypt/aswan-unfinished-obelisk/gallery/aswan-unfinished-obelisk-01.jpg,"The unfinished obelisk is the largest known ancient obelisk and is located in the northern region of the stone quarries of ancient Egypt in Aswan (Assuan), Egypt. It was ordered by Hatshepsut (1508–1458 BC), possibly to complement the Lateran Obelisk (which was originally at Karnak, and was later brought to the Lateran Palace in Rome). It is nearly one third larger than any ancient Egyptian obelisk ever erected. If finished it would have measured around 42 m (approximately 137 feet) and would have weighed nearly 1,090 metric tons (1,200 tons) which is the weight equal to about 200 African elephants."
