Sites,Latitude,Longitude,Country,Site Links,Image Source,Paragraph
Sun Temples,,,Egypt,https://www.megalithicbuilders.com/africa/egypt/lower-egypt/abu-gorab-sun-temples,https://www.megalithicbuilders.com/images/africa/egypt/abu-gorab-sun-temples/sun-temple-of-niuserre-main.jpg,The temple was excavated by Egyptologists between 1898 and 1901 by Ludwig Borchardt on behalf of the Berlin Museum and is located near the city of Memphis. It was built to honor the Sun god Ra.
Masuda-no-iwafune,,,Japan,https://www.megalithicbuilders.com/asia/japan/asuka-masuda-no-iwafune,https://www.megalithicbuilders.com/images/asia/japan/asuka-masuda-no-iwafune/gallery/asuka-masuda-no-iwafune-01.jpg,"In various parts of the Asuka region are unusual carved granite stones the largest of which is Masuda no iwafune. This is a large stone structure approximately 11 meters in length, 8 meters in width, and 4.7 meters In height. The upper surface is flat, with a shallow trough and two square holes. This is located on top of a hill just a few hundred meters west of Okadera Station. How or why this colossal stone and others was carved remains a mystery. They appear to be a different style than later Buddhist sculptures. There are also several nearby kofuns or tombs including the Ishibutai Kofun which is built from massive boulders including one that weighs an estimated 75 tons. This may have been the tomb of Soga no Umako."
Baalbek Temple Complex,,,Lebanon,https://www.megalithicbuilders.com/asia/lebanon/baalbek-baalbek-temple-complex,https://www.megalithicbuilders.com/images/asia/lebanon/baalbek-baalbek-temple-complex/baalbek-baalbek-temple-complex-main4.jpg,"Baalbek, properly Ba'albek and also known as Balbec, Baalbec or Baalbeck, is a city in the Anti-Lebanon foothills east of the Litani River in Lebanon's Beqaa Valley, about 85 km (53 mi) northeast of Beirut and about 75 km (47 mi) north of Damascus. The capital of Baalbek-Hermel Governorate, Baalbek has a population of approximately 82,608, mostly Shia Muslims, followed by Sunni Muslims and a minority of Christians. It is reckoned a stronghold of the Shi'a Hezbollah movement. It is home to the annual Baalbeck International Festival."
Ganghwa Dolmen Site,,,South Korea,https://www.megalithicbuilders.com/asia/south-korea/ganghwa-ganghwa-dolmen-site,https://www.megalithicbuilders.com/images/asia/south-korea/ganghwa-ganghwa-dolmen-site/gallery/ganghwa-ganghwa-dolmen-site-01.jpg,"These dolmen are located on Ganghwa Island, Ganghwa County, Incheon. They are located on the slopes of mountains and are thus higher in elevation than their counterparts. These dolmen are believed to be earliest ones made because the dolmen groups in Bugeun-ri and Gocheon-ri resemble the early dolmen. However, this has not been conclusively proved. A notable dolmen at Ganghwa is a northern/table-type dolmen where it was believed ancestral rites were performed. It is the biggest stone in South Korea with measures of 2.6 × 7.1 × 5.5 meters, but it has only two supporting stones. Combined the supporting stones and the capstone weigh between 150 and 225 tons."
Hwasun Dolmen Sites,,,South Korea,https://www.megalithicbuilders.com/asia/south-korea/hwasun-hwasun-dolmen-sites,,"Found in Hwasun County, South Jeolla, 34.9775414°N 126.931551°E, these dolmens are also located on the slopes of hills and follow the Jiseokgang river. The Hyosan-ri group contains 158 dolmens and the Dasin-ri group, 129. These dolmens are less well preserved than the Jungnim-ri group. The quarry where some of the stones of this group were carved out has been located. This group is dated to around the sixth or fifth century BCE."
Gochang Dolmen Site,,,South Korea,https://www.megalithicbuilders.com/asia/south-korea/maesan-gochang-dolmen-site,,"This group of dolmen are the largest and most varied. They are known as the Jungnim-ri dolmens and are centered in Maesan village, Gochang County, North Jeolla province."
Arwad Wall,,,Syria,https://www.megalithicbuilders.com/asia/syria/arwad-arwad-wall,https://www.megalithicbuilders.com/images/asia/syria/arwad-arwad-wall/arwad-arwad-wall-main1.jpg,"Arwad – formerly known as Arados (Greek: Ἄραδος), Arvad, Arpad, Arphad, and Antiochia in Pieria, also called Ruad Island – located in the Mediterranean Sea, is the only inhabited island in Syria. The town of Arwad covers the entire island. It is located 3 kilometres (1.9 mi) from Tartus (ancient Tortosa), Syria's second largest port. Today, it is mainly a fishing town. Plans have been unveiled in May 2016 to renovate the island to become a tourist attraction."
Ha'amonga 'a Maui,-21.13565,-175.046970595673,Tonga,https://www.megalithicbuilders.com/asia/tonga/tongatapu-haamonga-a-maui,,"Haʻamonga ʻa Maui (Burden of Maui) is a stone trilithon located in Tonga, on the north of the island of Tongatapu, near the village of Niutōua, in Heketā. The trilithon is constructed from three coral limestone slabs, and is up to 5.2 metres (17 ft) high, 1.4 m wide, and 5.8 m long. The weight of the visible part of each upright stone is approximately 30–40 tons. There are hewn deep mortises in the top of each upright stone to fit in the lintel."
Hattusa Complex,,,Turkey,https://www.megalithicbuilders.com/asia/turkey/anatolia-hattusa-complex,https://www.megalithicbuilders.com/images/asia/turkey/anatolia-hattusa-complex/anatolia-hattusa-complex-main1.jpg,"Ḫattuša was the capital of the Hittite Empire in the late Bronze Age. Its ruins lie near modern Boğazkale, Turkey, within the great loop of the Kızılırmak River (Hittite: Marashantiya; Greek: Halys)."
Carnac Stones,,,France,https://www.megalithicbuilders.com/europe/france/carnac-carnac-stones,https://www.megalithicbuilders.com/images/europe/france/carnac-carnac-stones/carnac-carnac-stones-main1.jpg,"The Carnac stones (Breton: Steudadoù Karnag) are an exceptionally dense collection of megalithic sites around the village of Carnac in Brittany, consisting of alignments, dolmens, tumuli and single menhirs. More than 3,000 prehistoric standing stones were hewn from local rock and erected by the pre-Celtic people of Brittany, and form the largest such collection in the world. Most of the stones are within the Breton village of Carnac, but some to the east are within La Trinité-sur-Mer. The stones were erected at some stage during the Neolithic period, probably around 3300 BCE, but some may date to as early as 4500 BCE."
