Sites,Latitude,Longitude,Country,Site Links,Image Source,Paragraph
Sun Temples,29.916663,31.2333324,Egypt,https://www.megalithicbuilders.com/africa/egypt/lower-egypt/abu-gorab-sun-temples,https://www.megalithicbuilders.com/images/africa/egypt/abu-gorab-sun-temples/sun-temple-of-niuserre-main.jpg,The temple was excavated by Egyptologists between 1898 and 1901 by Ludwig Borchardt on behalf of the Berlin Museum and is located near the city of Memphis. It was built to honor the Sun god Ra.
Masuda-no-iwafune,34.470538,135.788688,Japan,https://www.megalithicbuilders.com/asia/japan/asuka-masuda-no-iwafune,https://www.megalithicbuilders.com/images/asia/japan/asuka-masuda-no-iwafune/gallery/asuka-masuda-no-iwafune-01.jpg,"In various parts of the Asuka region are unusual carved granite stones the largest of which is Masuda no iwafune. This is a large stone structure approximately 11 meters in length, 8 meters in width, and 4.7 meters In height. The upper surface is flat, with a shallow trough and two square holes. This is located on top of a hill just a few hundred meters west of Okadera Station. How or why this colossal stone and others was carved remains a mystery. They appear to be a different style than later Buddhist sculptures. There are also several nearby kofuns or tombs including the Ishibutai Kofun which is built from massive boulders including one that weighs an estimated 75 tons. This may have been the tomb of Soga no Umako."
Baalbek Temple Complex,34.006,36.2039,Lebanon,https://www.megalithicbuilders.com/asia/lebanon/baalbek-baalbek-temple-complex,https://www.megalithicbuilders.com/images/asia/lebanon/baalbek-baalbek-temple-complex/baalbek-baalbek-temple-complex-main4.jpg,"Baalbek, properly Ba'albek and also known as Balbec, Baalbec or Baalbeck, is a city in the Anti-Lebanon foothills east of the Litani River in Lebanon's Beqaa Valley, about 85 km (53 mi) northeast of Beirut and about 75 km (47 mi) north of Damascus. The capital of Baalbek-Hermel Governorate, Baalbek has a population of approximately 82,608, mostly Shia Muslims, followed by Sunni Muslims and a minority of Christians. It is reckoned a stronghold of the Shi'a Hezbollah movement. It is home to the annual Baalbeck International Festival."
Ganghwa Dolmen Site,34.9666648,126.924165,South Korea,https://www.megalithicbuilders.com/asia/south-korea/ganghwa-ganghwa-dolmen-site,https://www.megalithicbuilders.com/images/asia/south-korea/ganghwa-ganghwa-dolmen-site/gallery/ganghwa-ganghwa-dolmen-site-01.jpg,"These dolmen are located on Ganghwa Island, Ganghwa County, Incheon. They are located on the slopes of mountains and are thus higher in elevation than their counterparts. These dolmen are believed to be earliest ones made because the dolmen groups in Bugeun-ri and Gocheon-ri resemble the early dolmen. However, this has not been conclusively proved. A notable dolmen at Ganghwa is a northern/table-type dolmen where it was believed ancestral rites were performed. It is the biggest stone in South Korea with measures of 2.6 Ã— 7.1 Ã— 5.5 meters, but it has only two supporting stones. Combined the supporting stones and the capstone weigh between 150 and 225 tons."
Hwasun Dolmen Sites,34.9666647,126.924165,South Korea,https://www.megalithicbuilders.com/asia/south-korea/hwasun-hwasun-dolmen-sites,http://tong.visitkorea.or.kr/enu/CU/rc/939158_1_11.jpg,"Found in Hwasun County, South Jeolla, 34.9775414Â°N 126.931551Â°E, these dolmens are also located on the slopes of hills and follow the Jiseokgang river. The Hyosan-ri group contains 158 dolmens and the Dasin-ri group, 129. These dolmens are less well preserved than the Jungnim-ri group. The quarry where some of the stones of this group were carved out has been located. This group is dated to around the sixth or fifth century BCE."
Gochang Dolmen Site,34.9666647,126.924165,South Korea,https://www.megalithicbuilders.com/asia/south-korea/maesan-gochang-dolmen-site,http://www.antiquealive.com/upfile/1_2(257).jpg,"This group of dolmen are the largest and most varied. They are known as the Jungnim-ri dolmens and are centered in Maesan village, Gochang County, North Jeolla province."
Arwad Wall,34.85366325,35.85499658,Syria,https://www.megalithicbuilders.com/asia/syria/arwad-arwad-wall,https://www.megalithicbuilders.com/images/asia/syria/arwad-arwad-wall/arwad-arwad-wall-main1.jpg,"Arwad â€“ formerly known as Arados (Greek: á¼ŒÏÎ±Î´Î¿Ï‚), Arvad, Arpad, Arphad, and Antiochia in Pieria, also called Ruad Island â€“ located in the Mediterranean Sea, is the only inhabited island in Syria. The town of Arwad covers the entire island. It is located 3 kilometres (1.9 mi) from Tartus (ancient Tortosa), Syria's second largest port. Today, it is mainly a fishing town. Plans have been unveiled in May 2016 to renovate the island to become a tourist attraction."
Ha'amonga 'a Maui,-21.13565,-175.0469706,Tonga,https://www.megalithicbuilders.com/asia/tonga/tongatapu-haamonga-a-maui,https://www.ancient-origins.net/sites/default/files/field/image/haamonga-maui.jpg,"HaÊ»amonga Ê»a Maui (Burden of Maui) is a stone trilithon located in Tonga, on the north of the island of Tongatapu, near the village of NiutÅua, in HeketÄ. The trilithon is constructed from three coral limestone slabs, and is up to 5.2 metres (17 ft) high, 1.4 m wide, and 5.8 m long. The weight of the visible part of each upright stone is approximately 30â€“40 tons. There are hewn deep mortises in the top of each upright stone to fit in the lintel."
Hattusa Complex,40.019722,34.615278,Turkey,https://www.megalithicbuilders.com/asia/turkey/anatolia-hattusa-complex,https://www.megalithicbuilders.com/images/asia/turkey/anatolia-hattusa-complex/anatolia-hattusa-complex-main1.jpg,"á¸ªattuÅ¡a was the capital of the Hittite Empire in the late Bronze Age. Its ruins lie near modern BoÄŸazkale, Turkey, within the great loop of the KÄ±zÄ±lÄ±rmak River (Hittite: Marashantiya; Greek: Halys)."
Carnac Stones,47.6119,-3.0608,France,https://www.megalithicbuilders.com/europe/france/carnac-carnac-stones,https://www.megalithicbuilders.com/images/europe/france/carnac-carnac-stones/carnac-carnac-stones-main1.jpg,"The Carnac stones (Breton: SteudadoÃ¹ Karnag) are an exceptionally dense collection of megalithic sites around the village of Carnac in Brittany, consisting of alignments, dolmens, tumuli and single menhirs. More than 3,000 prehistoric standing stones were hewn from local rock and erected by the pre-Celtic people of Brittany, and form the largest such collection in the world. Most of the stones are within the Breton village of Carnac, but some to the east are within La TrinitÃ©-sur-Mer. The stones were erected at some stage during the Neolithic period, probably around 3300 BCE, but some may date to as early as 4500 BCE."
Menhir de Champ-Dolent,48.5353173,-1.7393607,France,https://www.megalithicbuilders.com/europe/france/dol-de-bretagne-menhir-de-champ-dolent,https://media-cdn.tripadvisor.com/media/photo-s/08/16/5f/d1/menhir-du-champ-dolent.jpg,"The Menhir de Champ-Dolent is a menhir, or upright standing stone, located in a field outside the town of Dol-de-Bretagne. It is the largest standing stone in Brittany and is over 9 meters high."
Menhir de Kerloas,48.4265,4.6794,France,https://www.megalithicbuilders.com/europe/france/kerloas-menhir-de-kerloas,https://media-cdn.tripadvisor.com/media/photo-s/06/de/8f/01/menhir-de-kerloas.jpg,"The menhir of Kerloas, also called menhir of KervÃ©atoux, is located in Plouarzel in the department of FinistÃ¨re. It is considered the highest menhir currently standing 1, with its 9.50 m above the ground."
Locmariaquer Megaliths,47.5727,-2.9564,France,https://www.megalithicbuilders.com/europe/france/locmariaquer-locmariaquer-megaliths,https://media-cdn.tripadvisor.com/media/photo-s/0c/f2/24/7f/le-grand-menhir-brise.jpg,"The Locmariaquer megaliths are a complex of Neolithic constructions in Locmariaquer, Brittany. They comprise the elaborate Er-Grah tumulus passage grave, a dolmen known as the Table des Marchand and ""The Broken Menhir of Er Grah"", the largest known single block of stone to have been transported and erected by Neolithic people."
Gollenstein,49.2446165,7.2495165,Germany,https://www.megalithicbuilders.com/europe/germany/blieskastel-gollenstein,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Gollenstein.jpg/220px-Gollenstein.jpg,"The Gollenstein near Blieskastel in the Saarpfalz district of Saarland is an approximately 4,000-year-old menhir and, with its height of 6.58 meters, is considered the largest menhir in Central Europe. It stands on the Blieskasteler mountain northwest of the city center and is considered a landmark of the baroque town of Blieskastel."
Brownshill Dolmen,52.8375208,-6.8811186,Ireland,https://www.megalithicbuilders.com/europe/ireland/carlow-brownshill-dolmen,https://failtecdn.azureedge.net/tcs/media/93cf7f16-0c38-471e-8dd6-f67988297c51_49729.jpg,"The Brownshill Dolmen (Dolmain Chnoc an BhrÃºnaigh in Irish) is a megalithic portal tomb situated 3 km east of Carlow, in County Carlow, Ireland. It lies just off the R726 regional road and is clearly visible from the road. The capstone at Brownshill, weighing an estimated 100 metric tons, is reputed to be the heaviest in Europe. The tomb is listed as a National Monument."
Kordin Temples,35.881401,14.511738,Malta,https://www.megalithicbuilders.com/europe/malta/corradino-kordin-temples,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Kordin_III_Temples.jpg/440px-Kordin_III_Temples.jpg,"The Kordin Temples are a group of megalithic temples on Corradino Heights in Paola, Malta. The temples were inhabited from pre-history, by Phoenicians and then by the Greeks and Roman periods. In the 17th century the site belonged to Giovanni Francesco Abela. He had excavated several sites in the whereabouts, and had his country residence in the area. He had originally planned to write his will to the Order, but eventually left his villa, that was used as Malta's first museum, known as Museo di San Giacomo, and the surrounding lands to the Jesuits. The land still belonged to the Jesuits, until their expulsion in the 18th century by the Order when all their land and property was taken by the treasury. The site was escavated during the Order of St. John on the order of Grand Master Manuel Pinto da Fonseca by archeologist Gio Antonio Barbaro. The temples were then extensively excavated by Sir Themistocles Zammit during the British period."
Ta' Hagrat Temple Complex,35.91887966,14.36818186,Malta,https://www.megalithicbuilders.com/europe/malta/mgarr-ta-hagrat-temple-complex,https://media-cdn.tripadvisor.com/media/photo-s/04/9e/fc/c7/ta-hagrat-temples-malta.jpg,"The Ta' Ä¦aÄ¡rat temples in MÄ¡arr, Malta is recognized as a UNESCO World Heritage Site, along with several other Megalithic temples. They are amongst the most ancient religious sites on Earth. The larger Ta' Ä¦aÄ¡rat temple dates from the Ä gantija phase (3600â€“3200 BCE); the smaller is dated to the Saflieni phase (3300â€“3000 BCE)."
Hagar Qim Temple Complex,35.82333004,14.43866491,Malta,https://www.megalithicbuilders.com/europe/malta/qrendi-hagar-qim-temple-complex,https://www.megalithicbuilders.com/images/europe/malta/qrendi-hagar-qim-temple-complex/qrendi-hagar-qim-temple-complex-main1.jpg,"Ä¦aÄ¡ar Qim (""Standing/Worshipping Stones"") is a megalithic temple complex found on the Mediterranean island of Malta, dating from the Ä gantija phase (3600-3200 BC). The Megalithic Temples of Malta are among the most ancient religious sites on Earth, described by the World Heritage Sites committee as ""unique architectural masterpieces."" In 1992 UNESCO recognized Ä¦aÄ¡ar Qim and four other Maltese megalithic structures as World Heritage Sites. V. Gordon Childe, Professor of Prehistoric European Archeology and director of the Institute of Archaeology in the University of London from 1946-1957 visited Ä¦aÄ¡ar Qim. He wrote, ""I have been visiting the prehistoric ruins all round the Mediterranean, from Mesopotamia to Egypt, Greece and Switzerland, but I have nowhere seen a place as old as this one."""
